timestamp,brightness,exposure,temperature,ptp_status,ptp_servo_status,ptp_offset
1760456529325474,87.41595,187,68.062,Slave,Locked,428
1760456529425766,87.45688,189,68.062,Slave,Locked,428
1760456529526027,87.342766,189,68.062,Slave,Locked,428
1760456529625806,87.36531,191,68.062,Slave,Locked,428
1760456529724484,87.22771,191,68.062,Slave,Locked,428
1760456529830289,87.30398,192,68.062,Slave,Locked,437
1760456529926177,87.16603,192,68.062,Slave,Locked,437
1760456530026746,87.16216,193,68.062,Slave,Locked,437
1760456530124847,86.96519,193,68.062,Slave,Locked,437
1760456530225128,86.8367,194,68.062,Slave,Locked,437
1760456530325488,86.7334,194,68.062,Slave,Locked,437
1760456530426315,86.93761,195,68.062,Slave,Locked,437
1760456530525877,86.83225,195,68.062,Slave,Locked,437
1760456530626727,87.180595,196,68.062,Slave,Locked,437
1760456530724465,87.24105,196,68.062,Slave,Locked,437
1760456530826942,87.377205,197,68.062,Slave,Locked,435
1760456530925390,87.23071,197,68.062,Slave,Locked,435
1760456531027562,87.382774,198,68.062,Slave,Locked,435
1760456531125570,87.31814,198,68.062,Slave,Locked,435
1760456531226121,87.39402,199,68.062,Slave,Locked,435
1760456531326229,87.28809,199,68.062,Slave,Locked,435
1760456531425564,87.40633,200,68.062,Slave,Locked,435
1760456531527409,87.37116,200,68.062,Slave,Locked,435
1760456531625669,87.51707,201,68.062,Slave,Locked,435
1760456531724515,87.443245,201,68.062,Slave,Locked,435
1760456531825375,87.54708,202,68.062,Slave,Locked,435
1760456531924517,87.421455,202,68.062,Slave,Locked,435
1760456532028144,87.50421,203,68.062,Slave,Locked,435
1760456532125689,87.50202,203,68.062,Slave,Locked,435
1760456532224914,87.577,203,68.062,Slave,Locked,435
1760456532326311,87.45163,203,68.062,Slave,Locked,435
1760456532425302,87.570206,204,68.062,Slave,Locked,435
1760456532526153,87.463,204,68.062,Slave,Locked,435
1760456532625469,87.50807,205,68.062,Slave,Locked,435
1760456532724821,87.42365,205,68.062,Slave,Locked,435
1760456532825809,87.5128,206,68.062,Slave,Locked,438
1760456532924573,87.42,206,68.062,Slave,Locked,438
1760456533027434,87.54387,207,68.062,Slave,Locked,438
1760456533124784,87.46385,207,68.062,Slave,Locked,438
1760456533225781,87.34394,208,68.062,Slave,Locked,438
1760456533325376,87.30031,208,68.062,Slave,Locked,438
1760456533425409,87.40307,209,68.062,Slave,Locked,438
1760456533526633,87.311646,209,68.062,Slave,Locked,438
1760456533627243,87.33957,210,68.062,Slave,Locked,438
1760456533725167,87.25871,210,68.062,Slave,Locked,438
1760456533825477,87.31208,211,68.062,Slave,Locked,441
1760456533924456,87.28114,211,68.062,Slave,Locked,441
1760456534027231,87.39996,212,68.062,Slave,Locked,441
1760456534125224,87.29406,212,68.062,Slave,Locked,441
1760456534225192,87.32901,212,68.062,Slave,Locked,441
1760456534325693,87.275734,212,68.062,Slave,Locked,441
1760456534425498,87.352715,213,68.062,Slave,Locked,441
1760456534526451,87.28005,213,68.062,Slave,Locked,441
